國,英,數,自,社
4274,6025,14489,4313,4206
15343,16464,25823,9818,11598
34883,29380,34651,16692,25616
58065,41509,43542,24217,39378
79504,52781,52640,31916,54038
97068,63361,60690,39710,71272
108946,73018,70090,47015,83085
116715,82182,79263,54950,94713
121969,90811,87067,64445,101791
125596,99899,96174,76483,107041
128140,109972,105290,89430,110464
129911,120286,113620,97893,111028
130970,129383,122548,99882,111086
131246,131009,127884,100011,111094
131265,131050,129031,100014,111101
131272,131054,129087,100023,111101
